id,category,name,price,sales_price,color,gender
C1NC9042B063,Sandali,sandali metallizzati con listini imbottiti cobalto/verde,109.9,76.93,Azzurro,Donna
C1EF2012B018,Décolleté,dècollète in similpelle laminata con fasce laterali e fibbia multi azzurro,149.0,74.5,Azzurro,Donna
C1ED5003B018,Mocassini,mocassini in pelle scamosciata con frangia multi azzurro,129.9,90.93,Azzurro,Donna
C1HF9000W069,Sandali,sandali zeppa in tessuto bianco/celeste,89.9,,Azzurro|Bianco,Donna
C1XM1534M006,Sandali,sandali in pelle multilistni incrociati sabbia,165.0,,Beige,Donna
C1XA9107M072,Décolleté,décolleté in canvas con allacciatura alla schiava ecru,105.0,,Beige,Donna
C1XA9105M006,Décolleté,décolleté in microfibra sabbia,105.0,,Beige,Donna
C1XA9100M006,Décolleté,décolleté in microfibra con borche sabbia,119.0,,Beige,Donna
C1NA4027W059,Sandali,sandalo laccio dietro in pelle osso,129.9,,Beige,Donna
C1NA4022W025,Décolleté,décollété in pelle aperte dietro nude,129.9,,Beige,Donna
C1NA4021W059,Décolleté,décollété in pelle osso,129.9,,Beige,Donna
C1ED9014W059,Slingback,slingback in paglia intrecciata osso,109.9,,Beige,Donna
C1DS1012M008,Mocassini,mocassino in pelle con accessorio smaltato beige,119.9,,Beige,Donna
C1DH9005M008,Running,running con ricamo beige,119.9,,Beige,Donna
C1XW6010M032,Tronchetti,tronchetto da donna con pelliccia sintetica e allacciatura camel,125.0,50.0,Beige,Donna
C1XW6000M032,Tronchetti,tronchetto da donna con pelliccia sintetica camel,115.0,46.0,Beige,Donna
C1LF5505M008,Tronchetti,tronchetto in camoscio con cinturino beige,149.9,74.95,Beige,Donna
C1FE6001M003,Tronchetti,tronchetto da donna in pelle scamosciata con elastici biscotto,119.9,59.95,Beige,Donna
C1DZ6012M008,Tronchetti,tronchetto da donna con doppia cerniera in pelle scamosciata beige,119.9,59.95,Beige,Donna
C1DR6039M032,Sabot,sabot in pelle scamosciata camel,69.9,34.95,Beige,Donna
C1DR6029M032,Tronchetti,tronchetto alla caviglia in pelle scamosciata camel,79.9,39.95,Beige,Donna
C1DR6028M032,Tronchetti,tronchetto con elastico suola alta camel,89.9,44.95,Beige,Donna
C1DR6027M032,Tronchetti,tronchetto in pelle scamosciata con suola alta camel,79.9,39.95,Beige,Donna
C1DN9002M008,Running,running in nylon beige,119.9,59.95,Beige,Donna
C1DL6000M008,Running,running da donna in pelle scamosciata beige,99.9,49.95,Beige,Donna
C1XK9006M008,Sandali,sandali in tessuto su zeppa corda beige,125.0,50.0,Beige,Donna
C1EF5004M072,Tronchetti,tronchetti affusolati in pelle con cerniera laterale e tacchetto medio ecru,149.9,104.93,Beige,Donna
C1LC5426M006,Sandali,"sandali modello a ""t"" in camoscio e nappa con accessorio catena sabbia",139.9,97.93,Beige,Donna
C1LC5927M006,Ciabatte,ciabatta in camoscio e nappa con accessorio catena sabbia,139.9,97.93,Beige,Donna
C1XA9010M006,Sandali,sandali in tessuto con allacciatura schiava su zeppa corda sabbia,105.0,42.0,Beige,Donna
C1NA4140W025,Tronchetti,tronchetto donna in nappa con elastico nude,159.0,79.5,Beige,Donna
C1DF6124M008,Slip-on,slip-on in pelle scamosciata laminata con riporti glitter beige,139.9,97.93,Beige,Donna
C1LF5006M006,Sandali,sandali gilda in pelle con accessorio anello sabbia,139.9,97.93,Beige,Donna
C1XW6008M032,Tronchetti,tronchetto da donna con bordo mocassino e pelliccia sintetica camel,125.0,50.0,Beige,Donna
C1DE5015M072,Slip-on,slip-on in camoscio con fascia strass ecru,139.9,97.93,Beige,Donna
C1NC1052M003,Sandali,sandali in nappa con fascia e incrocio alla caviglia biscotto,119.9,83.93,Beige,Donna
C1LA6110,Stivali,stivali in pelle scamosciata con cuciture ornamentali,179.0,71.6,Beige,Donna
C1EF5005M072,Décolleté,décolleté due fasce in pelle scamosciata con laccio dietro ecru,129.9,90.93,Beige,Donna
C1XA9003M006,Sandali,sandali in tessuto con borchie su zeppa corda sabbia,105.0,42.0,Beige,Donna
C1XR6011,Stivali,stivali alti in pelle scamosciata,169.0,67.6,Beige,Donna
C1XA9002M006,Sandali,sandali in tessuto e zeppa in corda sabbia,105.0,42.0,Beige,Donna
C1HA6001M003,Tronchetti,tronchetto donna in crosta con elastico biscotto,119.0,59.5,Beige,Donna
C1GF9001W059,Sandali,sandali frate con doppia catena osso,109.9,76.93,Beige,Donna
C1LM1043M008,Sandali,sandali in pelle con fascia e incrocio beige,99.9,69.93,Beige,Donna
C1NB5010M072,Décolleté,dècollète in pelle scamosciata ecru,129.0,64.5,Beige,Donna
C1DN6026L017,Sneakers,sneakers in pelle scamosciata e tessuto multi sabbia,139.9,97.93,Beige,Donna
C1XB1007W025,Sandali,sandali in pelle con mignon strass nude,135.0,54.0,Beige,Donna
C1DN1037M008,Sneakers,sneakers in pelle e pizzo beige,139.9,97.93,Beige,Donna
C1EF5016M072,Décolleté,dècollète in suede con cinturino asimmetrico e catena decorativa ecru,139.0,69.5,Beige,Donna
C1HF9002M008,Sandali,sandali in canvas su zeppa in corda beige,79.0,39.5,Beige,Donna
C1EF4015M008,Décolleté,dècollète con gabbia che cinge la caviglia e catena decorativa beige,149.0,74.5,Beige,Donna
C1DN1004M008,Sneakers,sneakers in pelle con ricamo imbottito beige,149.0,74.5,Beige,Donna
C1DB6031M008,Sneakers,sneakers in pelle scamosciata e tessuto beige,99.9,69.93,Beige,Donna
C1XV7000W025,Mocassini,mocassini donna in camoscio con mignon strass nude,125.0,50.0,Beige,Donna
C1XW6006M032,Tronchetti,tronchetto donna con bordo mocassino e pelliccia sintetica camel,125.0,50.0,Beige,Donna
C1XV1000W025,Mocassini,mocassini in pelle con morsetto nude,125.0,50.0,Beige,Donna
C1EF5002,Tronchetti,tronchetti spuntati in pelle scamosciata,129.0,64.5,Beige,Donna
C1DN9570,Slip,slip on in maglia elastica con inserti in pelle e camoscio,149.0,59.6,Beige,Donna
C1DR6006M032,Tronchetti,tronchetto in pelle scamosciata con inserto a contrasto camel,89.0,44.5,Beige,Donna
C1HF8084M006,Ciabatte,ciabatta su fondo zeppa sabbia,95.0,66.5,Beige,Donna
C1HF8083M006,Sandali,sandalo spuntato su fondo zeppa sabbia,95.0,66.5,Beige,Donna
C1ED5003L017,Mocassini,mocassini in pelle scamosciata con frangia multi sabbia,129.9,90.93,Beige,Donna
C1ED5002M072,Mocassini,mocassini donna in pelle scamosciata con morsetto strass ecru,129.9,90.93,Beige,Donna
C1XW9003M032,Tronchetti,tronchetto donna con trapuntatura e pelliccia sintetica camel,115.0,46.0,Beige,Donna
C1LB5209M006,Sandali,sandali in pelle scamosciata con strass sabbia,149.0,74.5,Beige,Donna
C1GH5007M006,Ciabatte,ciabatte in pelle scamosciata e raffia sabbia,99.0,49.5,Beige,Donna
C1GH5002M006,Sandali,sandali in pelle scamosciata e raffia sabbia,99.0,49.5,Beige,Donna
C1EL5050M008,Altro,scarpe in suede realizzate in camoscio aperte sul retro con morsetto trasparente beige,139.0,69.5,Beige,Donna
C1EL5010M008,Altro,scarpe in suede realizzate in camoscio con gabbia asimmetrica intrecciata beige,149.0,74.5,Beige,Donna
C1DS1013W050,Sneakers,sneaker in pelle con accessorio smaltato bianco/beige,129.9,,Beige|Bianco,Donna
C1DS1013M045,Sneakers,sneaker in pelle con accessorio smaltato beige/bianco,129.9,,Beige|Bianco,Donna
C1XA5563W001,Sandali,sandali asimmetrico con mignons bianco,105.0,,Bianco,Donna
C1DS1014W001,Sneakers,sneaker in pelle con accessori strass bianco,129.9,,Bianco,Donna
C1DS1012W001,Mocassini,mocassino in pelle con accessorio smaltato bianco,119.9,,Bianco,Donna
C1DS1001W001,Sneakers,sneaker in pelle con micro strass bianco,129.9,,Bianco,Donna
C1DN9500W001,Stringate,francesina lacci in tessuto e pelle con accessori leva e metti bianco,129.9,,Bianco,Donna
C1DN1400W001,Slip-on,slip-on da donna con borchie e strass bianco,129.9,,Bianco,Donna
C1DN1007W001,Running,running da donna allacciata con zip bianco,129.9,,Bianco,Donna
C1DH9004W079,Running,running in tessuto e pelle scamosciata bianco fuxia,99.9,,Bianco,Donna
C1XT1012W050,Sneakers,sneakers da donna in pelle e pelle scamosciata con accessorio bianco/beige,149.0,59.6,Bianco,Donna
C1DZ6001W012,Tronchetti,tronchetto da donna in pelle scamosciata ghiaccio,119.9,59.95,Bianco,Donna
C1DZ1001W015,Tronchetti,tronchetto da donna in pelle panna,119.9,59.95,Bianco,Donna
C1DN1085W001,Running,running slip-on con accessorio gioiello bianco,139.9,69.95,Bianco,Donna
C1DL1000W001,Running,running da donna con riporti laminati bianco,99.9,49.95,Bianco,Donna
C1DA1032W050,Sneakers,sneakers da donna in pelle con lacci bianco/beige,109.9,54.95,Bianco,Donna
C1DA1031W088,Sneakers,sneakers da donna in pelle e pelle scamosciata con riporti effetto metallico bianco camel,109.9,54.95,Bianco,Donna
C1DA1031W087,Sneakers,sneakers da donna in pelle e pelle scamosciata con riporti effetto metallico bianco maculato,109.9,54.95,Bianco,Donna
C1DB6031W022,Sneakers,sneakers da donna in pelle scamosciata e tessuto off white,89.9,44.95,Bianco,Donna
C1FL9030,Stivali,stivali a coscia in similnappa con suola monoblocco,139.0,55.6,Bianco,Donna
C1GG9035W036,Sandali,sandali frate con tomaia multi listini bianco/oro,109.9,76.93,Bianco,Donna
C1EF1004W022,Tronchetti,tronchetti affusolati in pelle con cerniera laterale e tacchetto medio off white,149.9,104.93,Bianco,Donna
C1HN9008W001,Ciabatte,ciabatta tre fasce su zeppa in rafia bianco,119.9,83.93,Bianco,Donna
C1LC4023W001,Sandali,sandali asimmetrici in pelle bianco,139.9,97.93,Bianco,Donna
C1NB4056W015,Décolleté,décolleté in nappa con aperture laterali panna,129.9,90.93,Bianco,Donna
C1XV4200W001,Sandali,sandali in pelle con borchie bianco,159.0,63.6,Bianco,Donna
C1XP9011W001,Ciabatte,ciabatte in vernice con fibbia bianco,79.0,31.6,Bianco,Donna
C1DN1025W001,Slip-on,slip-on da donna in pelle e glitter bianco,139.9,97.93,Bianco,Donna
C1EN4001W037,Tronchetti,tronchetto donna in nappa con elastici latte,139.9,97.93,Bianco,Donna
C1ND9031W084,Ciabatte,ciabatta bicolor con listini imbottiti panna/oro,109.9,76.93,Bianco,Donna
C1FC1106W022,Stivali,stivale in pelle con cerniera off white,179.0,89.5,Bianco,Donna
C1GG9033W036,Infradito,infradito con tomaia multi listini bianco/oro,99.9,69.93,Bianco,Donna
C1HN9006W001,Sandali,sandalo gilda su zeppa in rafia bianco,119.9,83.93,Bianco,Donna
C1NB4050W015,Décolleté,décolleté in nappa panna,129.9,90.93,Bianco,Donna
C1FD1301W022,Tronchetti,tronchetto allacciato in pelle off white,129.0,64.5,Bianco,Donna
C1DF6124W001,Slip-on,slip-on in pelle scamosciata laminata con riporti glitter bianco,139.9,97.93,Bianco,Donna
C1ND1050W015,Sandali,sandali a fascia in nappa panna,119.9,83.93,Bianco,Donna
C1FC1103W022,Stivaletti,stivaletto donna in pelle off white,169.0,84.5,Bianco,Donna
C1XJ1960W001,Sandali,sandali con lacci in strass bianco,135.0,54.0,Bianco,Donna
C1NA4093W015,Décolleté,"décolleté a ""t"" aperta dietro in nappa panna",129.9,90.93,Bianco,Donna
C1XJ1958W001,Sandali,sandali infradito in pelle con accessorio bianco,125.0,50.0,Bianco,Donna
C1DE1015W001,Slip-on,slip-on con fascia strass bianco,139.9,97.93,Bianco,Donna
C1DM9133W005,Sneakers,sneakers mid patchwork zebrati multi bianco,79.9,55.93,Bianco,Donna
C1HB4129W015,Sandali,sandali asimmetrici in nappa con zeppa effetto imbottito panna,129.9,90.93,Bianco,Donna
C1HB4127W015,Sandali,sandali in nappa con zeppa effetto imbottito panna,129.9,90.93,Bianco,Donna
C1XJ1957W001,Sandali,sandali gladiatore in pelle con accessorio bianco,125.0,50.0,Bianco,Donna
C1DM9128W038,Sneakers,sneakers in tessuto jeans con strass burro,89.9,62.93,Bianco,Donna
C1HB4026W015,Sandali,sandali incrocio in nappa con zeppa strass panna,129.9,90.93,Bianco,Donna
C1XJ1956W001,Sandali,sandali in pelle mignon con accessorio triangolo strass bianco,135.0,54.0,Bianco,Donna
C1EF1001W022,Décolleté,décolleté con laccio dietro con tomaia in pelle intrecciata off white,129.9,90.93,Bianco,Donna
C1EL4103W001,Altro,scarpe in nappa con morsetto bianco,129.9,90.93,Bianco,Donna
C1EL4003W001,Altro,scarpe in nappa aperte sul retro con morsetto bianco,129.9,90.93,Bianco,Donna
C1GD9004W001,Sandali,sandali con borchie sfaccettate bianco,99.9,69.93,Bianco,Donna
C1HB4024W015,Ciabatte,ciabatta in nappa con zeppa strass panna,129.9,90.93,Bianco,Donna
C1LM1045W001,Sandali,sandali in pelle con accessorio bianco,109.9,76.93,Bianco,Donna
C1DG9004W052,Sneakers,sneakers in tessuto sfrangiato e cuciture a contrasto bianco/verde,89.9,62.93,Bianco,Donna
C1LM1044W001,Ciabatte,ciabatta con doppia fascia bianco,99.9,69.93,Bianco,Donna
C1DG9004V003,Sneakers,sneakers in tessuto sfrangiato e cuciture a contrasto bianco/fuxia,89.9,62.93,Bianco,Donna
C1EL3001W001,Altro,scarpe aperte dietro in vernice con bordo e cinturino bianco,129.9,90.93,Bianco,Donna
C1DN1047W001,Sneakers,sneakers in pelle bianco,135.0,94.5,Bianco,Donna
C1DH9004G050,Running,running in tessuto e pelle scamosciata bianco salvia,99.9,,Bianco,Donna
C1DN1037W001,Sneakers,sneakers in pelle e pizzo bianco,139.9,97.93,Bianco,Donna
C1DG9002W001,Sneakers,sneakers in tessuto sfrangiato e patch di strass bianco,99.9,69.93,Bianco,Donna
C1DN1029W001,Sneakers,sneakers in pelle e strass bianco,149.9,104.93,Bianco,Donna
C1DN1028W001,Sneakers,sneakers in pelle scamosciata con borchie e strass bianco,149.9,104.93,Bianco,Donna
C1DN1027W001,Sneakers,sneakers in pelle con borchie bianco,139.9,97.93,Bianco,Donna
C1ED9005W002,Ballerine,ballerine aperte dietro con retina e strass bianco/argento,129.9,90.93,Bianco,Donna
C1DB6032W022,Sneakers,sneakers in pelle scamosciata e glitter off white,99.9,69.93,Bianco,Donna
C1EF4016W022,Décolleté,dècollète con chiusura asimmetrica e catena decorativa off white,139.0,69.5,Bianco,Donna
C1DN1014W001,Sneakers,sneakers in pelle con ricamo e accessorio cuore removibile bianco,149.0,74.5,Bianco,Donna
C1DN1003W001,Slip-on,slip-on donna in pellle con inserti laminati bianco,139.0,69.5,Bianco,Donna
C1DN1002W005,Sneakers,sneakers in pelle patchwork multi bianco,149.0,74.5,Bianco,Donna
C1DN1001W001,Slip-on,slip-on donna in pelle con strass bianco,139.0,69.5,Bianco,Donna
C1GC4014W001,Sandali,sandali gilda in nappa con accessorio strass bianco,99.9,69.93,Bianco,Donna
C1DN9670W001,Sneakers,sneakers slip on in tessuto lurex e pelle bianco,149.0,74.5,Bianco,Donna
C1FD1303W022,Tronchetti,tronchetto donna in pelle off white,129.0,64.5,Bianco,Donna
C1FD1302W022,Tronchetti,tronchetto in pelle con elastico off white,129.0,64.5,Bianco,Donna
C1EF2003,Tronchetti,tronchetti spuntati in pelle traforata con doppio uso,139.0,69.5,Bianco,Donna
C1DZ6002W012,Tronchetti,tronchetto in pelle scamosciata con laccio strass ghiaccio,149.0,74.5,Bianco,Donna
C1EG4311W001,Mocassini,mocassini in pelle con morsetto strass bianco,99.9,69.93,Bianco,Donna
C1HF9004W005,Sandali,sandali in tessuto ricamato su zeppa in corda multi bianco,99.0,49.5,Bianco,Donna
C1DN9250,Slip,SLIP ON IN TESSUTO TECNICO LUREX,139.0,69.5,Bianco,Donna
C1EG4111W001,Mocassini,mocassini donna in pelle con catena bianco,99.9,69.93,Bianco,Donna
C1DM9123W001,Tronchetti,tronchetto donna con elastico e platform bianco,119.0,59.5,Bianco,Donna
C1HF8081W001,Sandali,sandali bicolor su zeppa in pelle bianco,95.0,66.5,Bianco,Donna
C1DE1016W011,Mocassini,mocassini con accessorio catena bianco/platino,119.9,83.93,Bianco,Donna
C1XL1131W022,Tronchetti,tronchetto donna in pelle allacciato off white,159.0,63.6,Bianco,Donna
C1XL1132W022,Tronchetti,tronchetto donna in pelle con elastico off white,159.0,63.6,Bianco,Donna
C1LC5007W005,Sandali,sandali gilda con accessorio multi bianco,149.0,74.5,Bianco,Donna
C1LC4002W038,Sandali,sandali due fasce in pelle burro,139.0,69.5,Bianco,Donna
C1LB4207W038,Ciabatte,ciabatte in pelle con catena burro,149.0,74.5,Bianco,Donna
C1XD0108W036,Sneakers,sneakers donna allacciata bianco/oro,149.0,59.6,Bianco,Donna
C1XD0108W003,Sneakers,sneakers donna allacciata bianco/rosa,149.0,59.6,Bianco,Donna
C1LB4206W038,Sandali,sandali in pelle con catena burro,149.0,74.5,Bianco,Donna
C1HH9004W001,Sandali,sandali frate in rafia e con strass bianco,119.0,59.5,Bianco,Donna
C1HH9001W001,Sandali,sandali gilda tre fasce rafia e strass bianco,119.0,59.5,Bianco,Donna
C1GH1002W001,Sandali,sandali con fasce in pelle e raffia bianco,99.0,49.5,Bianco,Donna
C1GF1003W005,Sandali,sandali fascia in pelle multicolor multi bianco,99.0,49.5,Bianco,Donna
C1EL3040W001,Altro,scarpe aperte dietro in pelle di vernice con tomaia intrecciata bianco,139.0,69.5,Bianco,Donna
C1DN1330,Sneakers,sneakers in pelle con inserti stampa monogramma cn,149.0,74.5,Bianco|Beige,Donna
C1XT1004W018,Sneakers,sneakers donna in pelle con applicazioni tallone bianco/nero,139.0,,Bianco|Nero,Donna
C1DL6100S022,Running,running da donna in pelle scamosciata e tessuto multi zebrato,99.9,49.95,Bianco|Nero,Donna
C1XT1005W036,Sneakers,sneakers donna in pelle e riporto effetto glitter sul tallone bianco/oro,129.0,,Bianco|Oro,Donna
C1DS6002B059,Mocassini,mocassino in pelle scamosciata accessorio smaltato multi jeans,119.9,,Blu,Donna
C1DL6000B012,Running,running da donna in pelle scamosciata blu,99.9,49.95,Blu,Donna
C1XB2005B022,Sandali,sandali schiava in pelle metallizzata azzurro,115.0,46.0,Blu,Donna
C1GE9011B021,Sandali,sandali schiava effetto laminato cobalto,79.9,55.93,Blu,Donna
C1XK9005B012,Sandali,sandali con mignon imbottiti su zeppa blu,125.0,50.0,Blu,Donna
C1GE9012B021,Sandali,sandali stampa effetto pitonato con strass cobalto,89.9,62.93,Blu,Donna
C1NA4090B060,Décolleté,décolleté in nappa blu royal,129.9,90.93,Blu,Donna
C1DM9132B059,Sneakers,sneakers patchwork multi jeans,79.9,55.93,Blu,Donna
C1HB4028B021,Sandali,sandali asimmetrici strass e nappa con zeppa righe strass cobalto,129.9,90.93,Blu,Donna
C1XA9000B012,Sandali,sandali in tessuto e zeppa in corda blu,105.0,42.0,Blu,Donna
C1GD9003B012,Sandali,sandali asimmetrici con strass blu,89.9,62.93,Blu,Donna
C1XA9012B022,Ciabatte,ciabatta effetto laminato con strass azzurro,109.0,43.6,Blu,Donna
C1XA9913B012,Sandali,sandali in tessuto su fondo corda blu,109.0,43.6,Blu,Donna
C1XA9912B012,Sandali,sandali in tessuto su zeppa corda blu,105.0,42.0,Blu,Donna
C1EG6211B012,Mocassini,mocassini in pelle scamosciata con vaschetta strass blu,99.9,69.93,Blu,Donna
C1EG6111B012,Mocassini,mocassini in pelle scamosciata con morsetto catena blu,99.9,69.93,Blu,Donna
C1EG4311B012,Mocassini,mocassini in pelle con morsetto strass blu,99.9,69.93,Blu,Donna
C1LD5050B012,Tronchetti,tronchetto donna in camoscio con fibbia blu,169.0,84.5,Blu,Donna
C1XV6004B040,Tronchetti,tronchetto donna in pelle scamosciata con elastici ottanio,195.0,78.0,Blu,Donna
C1HA6001R030,Tronchetti,tronchetto donna in crosta con elastico vinaccia,119.0,59.5,Bordeaux,Donna
C1EA9004R014,Stringate,derby donna in similpelle spazzolata con borchie bordeaux,99.0,49.5,Bordeaux,Donna
C1FA9501R014,Tronchetti,tronchetto in similpelle spazzolata bordeaux,99.0,49.5,Bordeaux,Donna
C1ND4002R047,Tronchetti,tronchetto donna in nappa con elastici ribes,149.0,74.5,Bordeaux,Donna
C1HD1040R014,Tronchetti,tronchetto donna in pelle bordeaux,159.0,63.6,Bordeaux,Donna
C1XW6005R010,Tronchetti,tronchetto donna alla caviglia con pelliccia sintetica glicine,105.0,42.0,Bordeaux,Donna
C1ED1005R014,Tronchetti,tronchetto in pelle con cerniera bordeaux,139.0,69.5,Bordeaux,Donna
C1EA9006R014,Tronchetti,tronchetto in similpelle spazzolata con elastici e borchie bordeaux,109.0,54.5,Bordeaux,Donna
C1LD3020R014,Mocassini,mocassino donna in naplak con morsetto bordeaux,159.0,79.5,Bordeaux,Donna
C1EA9003R014,Mocassini,mocassino in similpelle spazzolata e fibbia bordeaux,89.0,44.5,Bordeaux,Donna
C1XD0108R050,Sneakers,sneakers donna allacciata nero/fuxia,149.0,59.6,Bordeaux,Donna
C1XA9103B017,Sandali,sandali in canvas con applicazioni sulla tomaia jeans,119.0,,Celeste,Donna
C1XA9102B017,Décolleté,décolleté in canvas con borche jeans,119.0,,Celeste,Donna
C1DE5015B017,Slip-on,slip-on in camoscio con fascia strass jeans,139.9,97.93,Celeste,Donna
C1NA5010B003,Décolleté,dècollète in pelle scamosciata cielo,129.0,64.5,Celeste,Donna
C1DM9128B017,Sneakers,sneakers in tessuto jeans con strass jeans,89.9,62.93,Celeste,Donna
C1NA4030B003,Décolleté,dècollète' in pelle con cinturino alla caviglia cielo,129.0,64.5,Celeste,Donna
C1DM9127B017,Sneakers,sneakers mid in tessuto jeans con strass jeans,89.9,62.93,Celeste,Donna
C1NB4020B003,Décolleté,dècollète in pelle aperte dietro cielo,129.0,64.5,Celeste,Donna
C1ED9105B017,Ballerine,ballerine asimmetriche in denim con rete strass jeans,119.9,83.93,Celeste,Donna
C1EF5017B003,Tronchetti,tronchetti in suede con tacco basso cielo,149.0,74.5,Celeste,Donna
C1DG9001B017,Sneakers,sneakers in denim sfrangiato jeans,99.9,69.93,Celeste,Donna
C1DB6030B015,Sneakers,sneakers in pelle scamosciata e tessuto con riporti glitter celeste,99.9,69.93,Celeste,Donna
C1LB4207B015,Ciabatte,ciabatte in pelle con catena celeste,149.0,74.5,Celeste,Donna
C1GN9050B015,Sandali,sandali fasce con strass celeste,89.0,44.5,Celeste,Donna
C1XA5563M007,Sandali,sandali asimmetrico con mignons cuoio,105.0,,Cuoio,Donna
C1XV1226M007,Tronchetti,tronchetto da donna in pelle con lacci dietro cuoio,169.0,67.6,Cuoio,Donna
C1XV1123M007,Décolleté,décolleté in pelle con morsetto tacco 60 mm cuoio,149.0,59.6,Cuoio,Donna
C1XV1115M007,Décolleté,décolleté  in pelle con accessorio tacco 70 mm cuoio,149.0,59.6,Cuoio,Donna
C1XR1043M020,Stringate,derby da uomo in pelle con forature inglesi cognac,149.0,59.6,Cuoio,Donna
C1XL1234M007,Tronchetti,tronchetto da donna in pelle con cerniera sul retro cuoio,159.0,63.6,Cuoio,Donna
C1XA1007M020,Tronchetti,tronchetto da donna in pelle con cerniera cognac,149.0,59.6,Cuoio,Donna
C1NA5045M007,Décolleté,décolleté in camoscio con nappine cuoio,129.9,64.95,Cuoio,Donna
C1LB5501M007,Stivali,stivale in camoscio cuoio,169.9,84.95,Cuoio,Donna
C1LB4402M007,Tronchetti,tronchetto in pelle bimateriale cuoio,149.9,74.95,Cuoio,Donna
C1HB6001M007,Tronchetti,tronchetto da donna liscio in pelle scamosciata cuoio,139.9,69.95,Cuoio,Donna
C1HB1001M007,Tronchetti,tronchetto da donna liscio in pelle cuoio,149.9,74.95,Cuoio,Donna
C1GA4332M007,Tronchetti,tronchetto da donna filoforma in pelle cuoio,109.9,54.95,Cuoio,Donna
C1DN1184M059,Running,running allacciata con zip nocciola,129.9,64.95,Cuoio,Donna
C1DN1183M059,Tronchetti,tronchetto con riporto in nylon e camoscio nocciola,129.9,64.95,Cuoio,Donna
C1DM9002M007,Sneakers,sneakers da donna mid 3 fibbie cuoio,89.9,44.95,Cuoio,Donna
C1DE1032M059,Sneakers,sneakers da donna in pelle con accessori gioiello removibili nocciola,129.9,64.95,Cuoio,Donna
C1HN9008M007,Ciabatte,ciabatta tre fasce su zeppa in rafia cuoio,119.9,83.93,Cuoio,Donna
C1XV1118M007,Tronchetti,tronchetto da donna in pelle con accessorio e tacco 70 mm cuoio,199.0,79.6,Cuoio,Donna
C1HN9007M007,Sandali,sandali frate su zeppa in rafia cuoio,119.9,83.93,Cuoio,Donna
C1HL9002M007,Ciabatte,ciabatte doppia fibbia in raffia intrecciata cuoio,99.0,49.5,Cuoio,Donna
C1XV1223M007,Mocassini,mocassino da donna in pelle con frangia cuoio,149.0,59.6,Cuoio,Donna
